id,female,grade,bio2,ret,course,gen2,org2,phys2,mcat,gender
1,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
2,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
3,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
5,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
6,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
7,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
8,0,3.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
9,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
11,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
13,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
14,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
16,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
17,1,1,req_bio2,0,Bio,NA,NA,NA,NA,Female
18,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
19,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
20,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
21,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
22,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
23,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
25,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
26,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
27,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
28,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
29,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
30,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
32,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
34,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
35,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
36,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
38,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
39,0,0,req_bio2,0,Bio,NA,NA,NA,NA,Male
40,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
41,0,3.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
43,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
45,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
47,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
48,1,2.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
49,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
50,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
52,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
53,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
54,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
57,1,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
58,1,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
59,1,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
60,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
61,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
62,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
63,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
64,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
66,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
67,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
70,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
71,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
73,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
76,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
77,1,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
80,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
81,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
84,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
85,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
86,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
87,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
88,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
89,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
90,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
92,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
93,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
94,0,0,req_bio2,0,Bio,NA,NA,NA,NA,Male
95,0,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
97,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
98,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
100,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
103,1,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
106,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
107,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
108,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
110,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
111,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
113,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
114,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
117,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
120,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
121,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
122,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
123,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
125,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
126,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
127,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
128,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
129,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
131,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
132,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
133,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
134,1,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
135,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
136,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
137,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
139,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
140,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
141,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
142,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
144,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
145,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
146,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
147,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
148,0,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
149,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
150,1,1.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
151,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
152,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
155,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
156,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
159,1,0,req_bio2,0,Bio,NA,NA,NA,NA,Female
160,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
163,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
164,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
165,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
